date,sales,price,advertising_cost
2023-01-01,54,41,1510
2023-01-02,95,68,1944
2023-01-03,197,44,1222
2023-01-04,58,60,1623
2023-01-05,74,67,1652
2023-01-06,163,65,1326
2023-01-07,187,44,1409
2023-01-08,107,40,851
2023-01-09,199,56,1661
2023-01-10,87,49,1486
2023-01-11,51,64,1143
2023-01-12,78,48,1039
2023-01-13,73,67,1163
2023-01-14,139,60,1730
2023-01-15,136,67,1235
2023-01-16,159,54,1860
2023-01-17,162,54,1075
2023-01-18,194,60,1091
2023-01-19,175,45,1752
2023-01-20,190,58,1727
2023-01-21,112,44,979
2023-01-22,58,58,1677
2023-01-23,94,41,1382
2023-01-24,182,64,1568
2023-01-25,146,46,1327
2023-01-26,51,46,1773
2023-01-27,192,56,1622
2023-01-28,183,48,1024
2023-01-29,72,53,1185
2023-01-30,72,43,1858
2023-01-31,177,61,1730
2023-02-01,97,57,1962
2023-02-02,165,42,1031
2023-02-03,133,68,802
2023-02-04,168,69,834
2023-02-05,153,50,1404
2023-02-06,50,42,1675
2023-02-07,50,52,1994
2023-02-08,61,52,1036
2023-02-09,181,52,1304
2023-02-10,91,47,1663
2023-02-11,130,52,1966
2023-02-12,59,59,1566
2023-02-13,154,51,977
2023-02-14,70,62,1138
2023-02-15,149,67,1407
2023-02-16,119,59,1122
2023-02-17,191,49,1338
2023-02-18,83,55,1986
2023-02-19,115,52,1875
2023-02-20,198,67,1590
2023-02-21,148,56,1413
2023-02-22,103,66,999
2023-02-23,184,42,1112
2023-02-24,144,65,1682
2023-02-25,86,67,1104
2023-02-26,162,54,1625
2023-02-27,132,54,1901
2023-02-28,104,42,1703
2023-03-01,51,69,1564
2023-03-02,97,60,1524
2023-03-03,187,57,935
2023-03-04,54,51,824
2023-03-05,185,54,1839
2023-03-06,59,44,1714
2023-03-07,195,47,1061
2023-03-08,57,43,1633
2023-03-09,54,42,1386
2023-03-10,118,44,1198
2023-03-11,162,65,1491
2023-03-12,54,49,1610
2023-03-13,183,57,1403
2023-03-14,143,53,1386
2023-03-15,145,67,1038
2023-03-16,163,54,1881
2023-03-17,197,42,1111
2023-03-18,135,56,850
2023-03-19,95,61,1242
2023-03-20,172,43,1435
2023-03-21,74,53,1203
2023-03-22,110,53,1300
2023-03-23,164,41,1457
2023-03-24,120,61,1950
2023-03-25,50,52,1423
2023-03-26,137,61,1441
2023-03-27,59,45,1077
2023-03-28,72,50,806
2023-03-29,177,51,1657
2023-03-30,69,54,1769
2023-03-31,154,62,1405
2023-04-01,68,68,965
2023-04-02,170,41,1122
2023-04-03,190,40,1779
2023-04-04,112,43,1741
2023-04-05,51,61,1367
2023-04-06,83,64,1632
2023-04-07,196,57,1252
2023-04-08,154,43,1728
2023-04-09,113,60,1070
2023-04-10,69,47,1371
2023-04-11,198,43,1057
2023-04-12,62,40,1641
2023-04-13,68,50,855
2023-04-14,114,63,1346
2023-04-15,147,60,1857
2023-04-16,144,52,1490
2023-04-17,151,61,1420
2023-04-18,76,62,1233
2023-04-19,172,47,1389
2023-04-20,79,65,1195
2023-04-21,185,49,1153
2023-04-22,177,62,1562
2023-04-23,192,60,1872
2023-04-24,187,59,1716
2023-04-25,128,61,1079
2023-04-26,158,66,1871
2023-04-27,134,66,1726
2023-04-28,64,59,1346
2023-04-29,81,51,1260
2023-04-30,116,58,1055
2023-05-01,59,46,1332
2023-05-02,167,63,1827
2023-05-03,56,54,1182
2023-05-04,58,43,1385
2023-05-05,170,41,845
2023-05-06,166,47,1593
2023-05-07,153,57,1982
2023-05-08,144,63,1226
2023-05-09,179,58,1425
2023-05-10,102,49,1257
2023-05-11,56,64,1380
2023-05-12,63,45,1634
2023-05-13,95,66,1821
2023-05-14,71,43,1657
2023-05-15,126,69,1750
2023-05-16,196,60,1771
2023-05-17,71,64,1100
2023-05-18,189,50,1508
2023-05-19,122,67,1261
2023-05-20,135,44,1875
2023-05-21,75,62,1088
2023-05-22,198,67,1023
2023-05-23,184,64,1655
2023-05-24,147,53,1340
2023-05-25,162,60,1568
2023-05-26,96,61,1257
2023-05-27,188,55,1308
2023-05-28,83,46,1131
2023-05-29,133,59,1117
2023-05-30,155,47,1588
2023-05-31,156,53,1623
2023-06-01,133,67,1200
2023-06-02,99,68,1991
2023-06-03,198,51,1981
2023-06-04,164,52,1438
2023-06-05,66,53,1169
2023-06-06,140,50,813
2023-06-07,133,48,1331
2023-06-08,113,58,1496
2023-06-09,154,68,1924
2023-06-10,174,59,1809
2023-06-11,121,60,1202
2023-06-12,122,41,1285
2023-06-13,93,46,1646
